"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Ecommerce App","0","Home Page","1","0","Verify that the login functionality works as expected","0"
"0","Ecommerce App","0","Register","1","0","Verify that the user cannot register with invalid email","0"
"0","Ecommerce App","0","Checkout","1","0","Verify that the checkout flow works correctly","0"
"0","Ecommerce App","0","Cart","1","0","Verify that adding items to the cart works correctly","0"
"0","Ecommerce App","0","Home Page","1","0","Verify the home page title matches the expected value","0"
"0","Ecommerce App","0","Checkout","1","0","Verify that checkout page elements are displayed correctly","0"
"0","Ecommerce App","0","Checkout","1","0","Verify that the guest checkout option is available","0"
"0","Ecommerce App","0","Login","2","0","Verify that the user can login successfully with valid credentials","0"
"0","Ecommerce App","0","Checkout","1","0","Verify that the checkout flow works correctly with missing data","0"
"0","Ecommerce App","0","Security","1","0","Verify that password policy is enforced during registration","0"
"0","Ecommerce App","0","Home Page","1","0","Verify that featured products section is displayed on the home page","0"
"0","Ecommerce App","0","Login","1","0","Verify that the login button is displayed on the login page","0"
"0","Ecommerce App","0","Home Page","1","0","Verify that the search input is displayed on the home page","0"
"0","Ecommerce App","0","Security","1","0","Verify that input sanitization prevents XSS attacks on search","0"
"0","Ecommerce App","0","Product Page","0","1","Verify that the product details are displayed correctly","0"
"0","Ecommerce App","0","Register","1","0","Verify that gender radio buttons are displayed on the registration page","0"
"0","Ecommerce App","0","Register","1","0","Verify that the user cannot register with mismatch password","0"
"0","Ecommerce App","0","Security","2","0","Verify that the application is protected against SQL injection and script injection","0"
"0","Ecommerce App","0","Cart","1","0","Verify that the cart item quantity counter displays correctly","0"
"0","Ecommerce App","0","Register","0","1","Verify that the user cannot register with missing data","0"
"1","Ecommerce App","0","Login","0","0","Verify that login with invalid credentials shows an error message","0"
"0","Ecommerce App","0","Home Page","1","0","Verify that the footer copyright is displayed on the home page","0"
"1","Ecommerce App","0","Register","0","0","Verify that the registration form accepts user input in all fields","0"
"0","Ecommerce App","0","Login","1","0","Verify that the forgot password link is displayed on the login page","0"
"0","Ecommerce App","0","Register","1","0","Verify that registration form labels are displayed correctly","0"
"0","Ecommerce App","0","Cart","1","0","Verify that the cart page loads and displays correctly","0"
"0","Ecommerce App","0","Cart","1","0","Verify that removing items from the cart works correctly","0"
"0","Ecommerce App","0","Register","1","0","Verify that the user can register successfully","0"
"0","Ecommerce App","0","Home Page","1","0","Verify that the top header menu is displayed on the home page","0"
"0","Ecommerce App","0","Login","1","0","Verify that the remember me checkbox is displayed on the login page","0"
"0","Ecommerce App","1","Home Page","0","0","Verify that the main logo is displayed on the home page","0"
"0","Ecommerce App","0","Security","1","0","Verify that user session times out after a period of inactivity","0"
"0","Ecommerce App","0","Cart","1","0","Verify that the cart total calculation is correct","0"
"0","Ecommerce App","0","Checkout","1","0","Verify that an order can be placed successfully","0"
"0","Ecommerce App","0","Security","1","0","Verify that the application enforces HTTPS connection","0"
