"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the login functionality works as expected","132","verifyLoginWithEvidence","Ecommerce Suite","2026-08-02","passed","2026-08-02","com.store.tests.HomeTest","Home Page Test","com.store.tests.HomeTest","verifyLoginWithEvidence"
"Verify that the user cannot register with invalid email","1068","verifyUserCannotRegisterWithInvalidEmail","Ecommerce Suite","2026-08-02","passed","2026-08-02","com.store.tests.RegisterTest","Home Page Test","com.store.tests.RegisterTest","verifyUserCannotRegisterWithInvalidEmail"
"Verify that the checkout flow works correctly","6","verifyCheckoutFlow","Ecommerce Suite","2026-08-02","passed","2026-08-02","com.store.tests.CheckoutTest","Home Page Test","com.store.tests.CheckoutTest","verifyCheckoutFlow"
"Verify that adding items to the cart works correctly","4","verifyAddToCart","Ecommerce Suite","2026-08-02","passed","2026-08-02","com.store.tests.CartTest","Home Page Test","com.store.tests.CartTest","verifyAddToCart"
"Verify the home page title matches the expected value","13","verifyHomePageTitle","Ecommerce Suite","2026-08-02","passed","2026-08-02","com.store.tests.HomeTest","Home Page Test","com.store.tests.HomeTest","verifyHomePageTitle"
"Verify that checkout page elements are displayed correctly","1","verifyCheckoutPageElements","Ecommerce Suite","2026-08-02","passed","2026-08-02","com.store.tests.CheckoutTest","Home Page Test","com.store.tests.CheckoutTest","verifyCheckoutPageElements"
"Verify that the guest checkout option is available","1","verifyGuestCheckoutOption","Ecommerce Suite","2026-08-02","passed","2026-08-02","com.store.tests.CheckoutTest","Home Page Test","com.store.tests.CheckoutTest","verifyGuestCheckoutOption"
"Verify that the user can login successfully with valid credentials","2131","doLoginTestWithDataProvider","Ecommerce Suite","2026-08-02","passed","2026-08-02","com.store.tests.LoginTest","Home Page Test","com.store.tests.LoginTest","doLoginTestWithDataProvider"
"Verify that the checkout flow works correctly with missing data","2","verifyCheckoutWithMissingData","Ecommerce Suite","2026-08-02","passed","2026-08-02","com.store.tests.CheckoutTest","Home Page Test","com.store.tests.CheckoutTest","verifyCheckoutWithMissingData"
"Verify that password policy is enforced during registration","0","verifyPasswordPolicyEnforced","Ecommerce Suite","2026-08-02","passed","2026-08-02","com.store.tests.SecurityTest","Home Page Test","com.store.tests.SecurityTest","verifyPasswordPolicyEnforced"
"Verify that featured products section is displayed on the home page","127","verifyFeaturedProducts","Ecommerce Suite","2026-08-02","passed","2026-08-02","com.store.tests.HomeTest","Home Page Test","com.store.tests.HomeTest","verifyFeaturedProducts"
"Verify that the login button is displayed on the login page","441","verifyLoginButtonIsDisplayed","Ecommerce Suite","2026-08-02","passed","2026-08-02","com.store.tests.LoginTest","Home Page Test","com.store.tests.LoginTest","verifyLoginButtonIsDisplayed"
"Verify that the search input is displayed on the home page","25","verifyInputSearch","Ecommerce Suite","2026-08-02","passed","2026-08-02","com.store.tests.HomeTest","Home Page Test","com.store.tests.HomeTest","verifyInputSearch"
